"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
3044389|"31091661"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP152MCPEH0KR"|http://www.vishay.com/docs/22206/22206.pdf
4288599|"31091662"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP152MCPEHNKR"|http://www.vishay.com/docs/22206/22206.pdf
4199021|"31091663"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP152MCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
3608196|"31091666"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP152MCPSWZKR"|http://www.vishay.com/docs/22206/22206.pdf
4967775|"31091669"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP221KCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
4912329|"31091670"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP221MCPDRUKR"|http://www.vishay.com/docs/22206/22206.pdf
2315007|"31091673"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP221MCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
1962181|"31091675"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222KCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
4291155|"31091678"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPDF0KR"|http://www.vishay.com/docs/22206/22206.pdf
3959837|"31091680"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPDRUKR"|http://www.vishay.com/docs/22206/22206.pdf
3442549|"31091683"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPEJXKR"|http://www.vishay.com/docs/22206/22206.pdf
4913299|"31091686"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPERYKR"|http://www.vishay.com/docs/22206/22206.pdf
2481896|"31091688"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPKX0KR"|http://www.vishay.com/docs/22206/22206.pdf
2148926|"31091690"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPNV0KR"|http://www.vishay.com/docs/22206/22206.pdf
3050198|"31091693"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPSKQKR"|http://www.vishay.com/docs/22206/22206.pdf
4294359|"31091694"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPSRKKR"|http://www.vishay.com/docs/22206/22206.pdf
3616149|"31091698"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP330KCPSASKR"|http://www.vishay.com/docs/22206/22206.pdf
4443113|"31091700"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP330MCPDRUKR"|http://www.vishay.com/docs/22206/22206.pdf
2679668|"31091703"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP331MCPDRUKR"|http://www.vishay.com/docs/22206/22206.pdf
2322521|"31091705"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP331MCPERUKR"|http://www.vishay.com/docs/22206/22206.pdf
2153052|"31091706"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP331MCPERZKR"|http://www.vishay.com/docs/22206/22206.pdf
4298874|"31091710"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPDF0KR"|http://www.vishay.com/docs/22206/22206.pdf
3964846|"31091712"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPEF0KR"|http://www.vishay.com/docs/22206/22206.pdf
3798442|"31091713"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPEH0KR"|http://www.vishay.com/docs/22206/22206.pdf
3620146|"31091714"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPEJXKR"|http://www.vishay.com/docs/22206/22206.pdf
4972475|"31091717"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPKX0KR"|http://www.vishay.com/docs/22206/22206.pdf
2489191|"31091720"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPSRKKR"|http://www.vishay.com/docs/22206/22206.pdf
1974455|"31091723"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP332MCPTH0KR"|http://www.vishay.com/docs/22206/22206.pdf
1799528|"31091724"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP392MCPEH0KR"|http://www.vishay.com/docs/22206/22206.pdf
4212191|"31091727"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP470KCPEF0KR"|http://www.vishay.com/docs/22206/22206.pdf
3802917|"31091729"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP470MCPDRUKR"|http://www.vishay.com/docs/22206/22206.pdf
