"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
4076038|"28769776"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC124KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2274218|"28769802"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC332MAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3735516|"28770830"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC222ZAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3205399|"28770841"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2873593|"28770843"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA390JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2508914|"28770845"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102KA19A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4556172|"28770849"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CC103KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4449786|"28770850"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC102JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4710165|"28770854"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC184KAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
3392345|"28770880"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC152MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2597147|"28769768"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC823MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2091094|"28769787"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC823KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3571416|"28769827"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CC332KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5090164|"28769838"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC103KAJ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
2808740|"28769863"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC220KAJ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
3639549|"28770831"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC330MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3380746|"28770832"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102MA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4445055|"28770834"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC221KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4156709|"28770836"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC122KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2128032|"28770839"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA622JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5029917|"28770851"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA123JAJ1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2877717|"28770859"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2220CC124KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2881740|"28770875"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC393KAT1A"|http://www.avx.com/docs/Catalogs/cauto.pdf
2516017|"28770877"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3647956|"28770879"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC152KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5030765|"28770883"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC103MA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3434027|"28771088"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC821KAT1A"|http://www.avx.com/docs/Catalogs/cauto.pdf
3277159|"28771089"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA200JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2184677|"28771095"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC473MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4499929|"28771106"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102ZAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4546000|"28771330"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA221JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
